window,method,F1,n,scenario
7,TF-Vote-Decay-3.0,0.9244,661,gradual|3src|title
8,WV-static,0.9319,661,gradual|3src|title
8,TF-Vote-NoDecay,0.9425,661,gradual|3src|title
8,TF-Vote-Decay-3.0,0.941,661,gradual|3src|title
1,WV-static,0.7396,338,gradual|3src|brand+title
1,TF-Vote-NoDecay,0.7396,338,gradual|3src|brand+title
1,TF-Vote-Decay-3.0,0.7396,338,gradual|3src|brand+title
2,WV-static,0.7902,491,gradual|3src|brand+title
2,TF-Vote-NoDecay,0.7862,491,gradual|3src|brand+title
2,TF-Vote-Decay-3.0,0.7882,491,gradual|3src|brand+title
3,WV-static,0.8155,580,gradual|3src|brand+title
3,TF-Vote-NoDecay,0.8155,580,gradual|3src|brand+title
3,TF-Vote-Decay-3.0,0.8172,580,gradual|3src|brand+title
4,WV-static,0.8442,629,gradual|3src|brand+title
4,TF-Vote-NoDecay,0.8458,629,gradual|3src|brand+title
4,TF-Vote-Decay-3.0,0.841,629,gradual|3src|brand+title
5,WV-static,0.8596,648,gradual|3src|brand+title
5,TF-Vote-NoDecay,0.858,648,gradual|3src|brand+title
5,TF-Vote-Decay-3.0,0.858,648,gradual|3src|brand+title
6,WV-static,0.8767,657,gradual|3src|brand+title
6,TF-Vote-NoDecay,0.8752,657,gradual|3src|brand+title
6,TF-Vote-Decay-3.0,0.8721,657,gradual|3src|brand+title
7,WV-static,0.885,661,gradual|3src|brand+title
7,TF-Vote-NoDecay,0.8896,661,gradual|3src|brand+title
7,TF-Vote-Decay-3.0,0.9017,661,gradual|3src|brand+title
8,WV-static,0.885,661,gradual|3src|brand+title
8,TF-Vote-NoDecay,0.9092,661,gradual|3src|brand+title
8,TF-Vote-Decay-3.0,0.9047,661,gradual|3src|brand+title
1,WV-static,0.7396,338,gradual|5src|brand
1,TF-Vote-NoDecay,0.7396,338,gradual|5src|brand
1,TF-Vote-Decay-3.0,0.7396,338,gradual|5src|brand
2,WV-static,0.7902,491,gradual|5src|brand
2,TF-Vote-NoDecay,0.7862,491,gradual|5src|brand
2,TF-Vote-Decay-3.0,0.7882,491,gradual|5src|brand
3,WV-static,0.8155,580,gradual|5src|brand
3,TF-Vote-NoDecay,0.8155,580,gradual|5src|brand
3,TF-Vote-Decay-3.0,0.8172,580,gradual|5src|brand
4,WV-static,0.849,629,gradual|5src|brand
4,TF-Vote-NoDecay,0.849,629,gradual|5src|brand
4,TF-Vote-Decay-3.0,0.8458,629,gradual|5src|brand
5,WV-static,0.8657,648,gradual|5src|brand
5,TF-Vote-NoDecay,0.8642,648,gradual|5src|brand
5,TF-Vote-Decay-3.0,0.8611,648,gradual|5src|brand
6,WV-static,0.8889,657,gradual|5src|brand
6,TF-Vote-NoDecay,0.8813,657,gradual|5src|brand
6,TF-Vote-Decay-3.0,0.8843,657,gradual|5src|brand
7,WV-static,0.9002,661,gradual|5src|brand
7,TF-Vote-NoDecay,0.9047,661,gradual|5src|brand
7,TF-Vote-Decay-3.0,0.9092,661,gradual|5src|brand
8,WV-static,0.9002,661,gradual|5src|brand
8,TF-Vote-NoDecay,0.9153,661,gradual|5src|brand
8,TF-Vote-Decay-3.0,0.9153,661,gradual|5src|brand
1,WV-static,0.7396,338,gradual|5src|title
1,TF-Vote-NoDecay,0.7396,338,gradual|5src|title
1,TF-Vote-Decay-3.0,0.7396,338,gradual|5src|title
2,WV-static,0.7902,491,gradual|5src|title
2,TF-Vote-NoDecay,0.7862,491,gradual|5src|title
2,TF-Vote-Decay-3.0,0.7882,491,gradual|5src|title
3,WV-static,0.8155,580,gradual|5src|title
3,TF-Vote-NoDecay,0.8155,580,gradual|5src|title
3,TF-Vote-Decay-3.0,0.8172,580,gradual|5src|title
4,WV-static,0.8537,629,gradual|5src|title
4,TF-Vote-NoDecay,0.8553,629,gradual|5src|title
