budget,seed,method,F1,EM,mean_n_eff
50,6,TupleFuse-Vote-LCB-Decay,0.941236802413273,0.9548022598870056,6.891304347826087
50,7,Weighted-Voting-Global,0.9673755656108597,0.9548022598870056,7.96
50,7,Weighted-Voting-Field,0.9642307692307691,0.9378531073446328,7.96
50,7,TupleFuse-Vote-Mean,0.9641704374057315,0.9491525423728814,7.96
50,7,TupleFuse-Vote-LCB,0.987051282051282,0.9774011299435028,7.96
50,7,TupleFuse-Vote-LCB-Decay,0.9902564102564102,0.9830508474576272,7.96
50,8,Weighted-Voting-Global,0.9803242835595777,0.9774011299435028,8.340425531914894
50,8,Weighted-Voting-Field,0.9802564102564103,0.9661016949152542,8.340425531914894
50,8,TupleFuse-Vote-Mean,0.9736576168929111,0.9661016949152542,8.340425531914894
50,8,TupleFuse-Vote-LCB,0.9868627450980392,0.9887005649717514,8.340425531914894
50,8,TupleFuse-Vote-LCB-Decay,0.9476470588235294,0.9661016949152542,8.340425531914894
50,9,Weighted-Voting-Global,0.9835294117647059,0.9830508474576272,7.137254901960785
50,9,Weighted-Voting-Field,0.9835897435897435,0.9717514124293786,7.137254901960785
50,9,TupleFuse-Vote-Mean,0.9769909502262443,0.9717514124293786,7.137254901960785
50,9,TupleFuse-Vote-LCB,0.9967948717948718,0.9943502824858758,7.137254901960785
50,9,TupleFuse-Vote-LCB-Decay,1.0,1.0,7.137254901960785
100,0,Weighted-Voting-Global,0.9771191553544495,0.9717514124293786,14.08
100,0,Weighted-Voting-Field,0.9867948717948719,0.9774011299435028,14.08
100,0,TupleFuse-Vote-Mean,0.9769909502262443,0.9717514124293786,14.08
100,0,TupleFuse-Vote-LCB,0.983657616892911,0.9830508474576272,14.08
100,0,TupleFuse-Vote-LCB-Decay,0.9803242835595777,0.9774011299435028,14.08
100,1,Weighted-Voting-Global,0.9769909502262443,0.9717514124293786,14.58
100,1,Weighted-Voting-Field,0.9866666666666667,0.9774011299435028,14.58
100,1,TupleFuse-Vote-Mean,0.9867948717948719,0.9774011299435028,14.58
100,1,TupleFuse-Vote-LCB,0.9933333333333333,0.9887005649717514,14.58
100,1,TupleFuse-Vote-LCB-Decay,0.9868627450980392,0.9887005649717514,14.58
100,2,Weighted-Voting-Global,0.9737858220211161,0.9661016949152542,14.12
100,2,Weighted-Voting-Field,0.9835897435897435,0.9717514124293786,14.12
100,2,TupleFuse-Vote-Mean,0.9737858220211161,0.9661016949152542,14.12
100,2,TupleFuse-Vote-LCB,0.9771191553544495,0.9717514124293786,14.12
100,2,TupleFuse-Vote-LCB-Decay,0.9835294117647059,0.9830508474576272,14.12
100,3,Weighted-Voting-Global,0.9769909502262443,0.9717514124293786,15.12
100,3,Weighted-Voting-Field,0.9869230769230769,0.9774011299435028,15.12
100,3,TupleFuse-Vote-Mean,0.9771191553544495,0.9717514124293786,15.12
100,3,TupleFuse-Vote-LCB,0.9803242835595777,0.9774011299435028,15.12
100,3,TupleFuse-Vote-LCB-Decay,0.9868627450980392,0.9887005649717514,15.12
100,4,Weighted-Voting-Global,0.9769909502262443,0.9717514124293786,13.607843137254902
100,4,Weighted-Voting-Field,0.9737858220211161,0.9661016949152542,13.607843137254902
100,4,TupleFuse-Vote-Mean,0.9737858220211161,0.9661016949152542,13.607843137254902
100,4,TupleFuse-Vote-LCB,0.9801960784313725,0.9774011299435028,13.607843137254902
100,4,TupleFuse-Vote-LCB-Decay,0.9835294117647059,0.9830508474576272,13.607843137254902
100,5,Weighted-Voting-Global,0.9737858220211161,0.9661016949152542,13.196078431372548
100,5,Weighted-Voting-Field,0.9673755656108597,0.96045197740113,13.196078431372548
100,5,TupleFuse-Vote-Mean,0.9607767722473604,0.9548022598870056,13.196078431372548
100,5,TupleFuse-Vote-LCB,0.9901282051282051,0.9830508474576272,13.196078431372548
100,5,TupleFuse-Vote-LCB-Decay,0.9966666666666667,0.9943502824858758,13.196078431372548
100,6,Weighted-Voting-Global,0.9705806938159879,0.96045197740113,16.274509803921568
100,6,Weighted-Voting-Field,0.9834615384615385,0.9717514124293786,16.274509803921568
100,6,TupleFuse-Vote-Mean,0.9867948717948719,0.9774011299435028,16.274509803921568
100,6,TupleFuse-Vote-LCB,0.9899999999999999,0.9830508474576272,16.274509803921568
100,6,TupleFuse-Vote-LCB-Decay,0.9933333333333333,0.9887005649717514,16.274509803921568
100,7,Weighted-Voting-Global,0.9737858220211161,0.9661016949152542,15.7
100,7,Weighted-Voting-Field,0.9705806938159879,0.96045197740113,15.7
100,7,TupleFuse-Vote-Mean,0.9835897435897435,0.9717514124293786,15.7
100,7,TupleFuse-Vote-LCB,0.9345701357466063,0.943502824858757,15.7
100,7,TupleFuse-Vote-LCB-Decay,0.967315233785822,0.9661016949152542,15.7
100,8,Weighted-Voting-Global,0.9607767722473604,0.96045197740113,14.46
100,8,Weighted-Voting-Field,0.9672473604826547,0.96045197740113,14.46
100,8,TupleFuse-Vote-Mean,0.9672473604826547,0.96045197740113,14.46
100,8,TupleFuse-Vote-LCB,0.9835897435897435,0.9717514124293786,14.46
100,8,TupleFuse-Vote-LCB-Decay,0.9738536953242836,0.9774011299435028,14.46
100,9,Weighted-Voting-Global,0.9737858220211161,0.9661016949152542,14.44
100,9,Weighted-Voting-Field,0.9803846153846153,0.9661016949152542,14.44
