window,method,bad_mean_trust,scenario
2,TF-Vote-Decay-3.0,0.5598,recurring|5src|brand+title
3,TF-Vote-NoDecay,0.7717,recurring|5src|brand+title
3,TF-Vote-Decay-3.0,0.5951,recurring|5src|brand+title
4,TF-Vote-NoDecay,0.7832,recurring|5src|brand+title
4,TF-Vote-Decay-3.0,0.6187,recurring|5src|brand+title
5,TF-Vote-NoDecay,0.7372,recurring|5src|brand+title
5,TF-Vote-Decay-3.0,0.5843,recurring|5src|brand+title
6,TF-Vote-NoDecay,0.6877,recurring|5src|brand+title
6,TF-Vote-Decay-3.0,0.557,recurring|5src|brand+title
7,TF-Vote-NoDecay,0.6768,recurring|5src|brand+title
7,TF-Vote-Decay-3.0,0.5871,recurring|5src|brand+title
8,TF-Vote-NoDecay,0.6565,recurring|5src|brand+title
8,TF-Vote-Decay-3.0,0.5661,recurring|5src|brand+title
